gm_naam,gwb_code_10,gwb_code_8,regio,recs,gwb_code,a_inw,a_man,p_man,a_vrouw,p_vrouw,a_00_14,p_00_14,a_15_24,p_15_24,a_25_44,p_25_44,a_45_64,p_45_64,a_65_oo,p_65_oo,a_ongeh,p_ongeh,a_gehuwd,p_gehuwd,a_gesch,p_gesch,a_verwed,p_verwed,a_w_all,p_w_all,a_nw_all,p_nw_all,a_marok,p_marok,a_antaru,p_antaru,a_suri,p_suri,a_tur,p_tur,a_ov_nw,p_ov_nw,a_hh,a_1p_hh,p_1p_hh,a_hh_z_k,p_hh_z_k,a_hh_m_k,p_hh_m_k,g_hhgro,bev_dich,a_woning,g_woz,p_1gezw,p_mgezw,p_bjj2k,p_bjo2k,a_bedv,a_bed_a,a_bed_bf,a_bed_gi,a_bed_hj,a_bed_kl,a_bed_mn,a_bed_ru,a_pau,a_lftj6j,a_lfto6j,a_bst_b,a_bst_nb,g_pau_hh,g_pau_km,a_bau,a_m2w,a_opp_ha,a_lan_ha,a_wat_ha,ste_mvs,ste_oad
Son en Breugel,GM0848,848,Son en Breugel,Gemeente,GM0848,16425,8112,49.4,8313,50.6,2872,17.5,1771,10.8,3438,20.9,4636,28.2,3708,22.6,6982,42.5,7327,44.6,1135,6.9,981,6,1385,8.4,562,3.4,32,0.2,59,0.4,56,0.3,41,0.2,374,2.3,6869,1910,27.8,2350,34.2,2609,38,2.4,633,6906,283,88,12,84,16,1635,50,240,390,130,195,445,185,8940,2625,6315,7235,1705,1.3,344,1715,775,2651,2595,56,4,670
Steenbergen,GM0851,851,Steenbergen,Gemeente,GM0851,23477,11823,50.4,11654,49.6,3436,14.6,2592,11,5136,21.9,7453,31.7,4860,20.7,9537,40.6,10807,46,1656,7.1,1477,6.3,1930,8.2,752,3.2,74,0.3,49,0.2,136,0.6,23,0.1,470,2,10374,3161,30.5,3691,35.6,3522,34,2.2,160,10006,200,87,13,90,10,2030,260,380,445,135,200,370,235,12575,4075,8500,10245,2330,1.2,86,1705,1230,15914,14637,1277,4,689
Waterland,GM0852,852,Waterland,Gemeente,GM0852,17304,8524,49.3,8780,50.7,2833,16.4,1839,10.6,3308,19.1,5440,31.4,3884,22.4,7466,43.1,7848,45.4,1060,6.1,930,5.4,1276,7.4,808,4.7,75,0.4,37,0.2,135,0.8,33,0.2,528,3.1,7445,2204,29.6,2496,33.5,2745,36.9,2.3,332,7280,267,84,16,92,8,1725,105,255,295,140,190,490,245,7835,2725,5115,6500,1340,1.1,150,975,790,11566,5211,6355,4,662
Tilburg,GM0855,855,Tilburg,Gemeente,GM0855,212941,106008,49.8,106933,50.2,32872,15.4,32867,15.4,58330,27.4,55044,25.8,33828,15.9,113035,53.1,73379,34.5,16657,7.8,9870,4.6,22068,10.4,32332,15.2,5929,2.8,4565,2.1,3359,1.6,7904,3.7,10575,5,104442,47164,45.2,26824,25.7,30454,29.2,2,1817,95779,182,65,35,83,17,15525,130,2260,3620,1300,1270,4285,2660,106760,43040,63720,78825,27940,1,911,11910,6490,11915,11721,194,1,2703
Uden,GM0856,856,Uden,Gemeente,GM0856,41247,20456,49.6,20791,50.4,6835,16.6,4563,11.1,10003,24.3,11740,28.5,8106,19.7,18717,45.4,17147,41.6,3217,7.8,2166,5.3,3474,8.4,2995,7.3,207,0.5,170,0.4,443,1.1,1064,2.6,1111,2.7,17826,5695,31.9,5666,31.8,6465,36.3,2.3,615,18110,223,76,24,88,12,3915,225,680,950,225,485,900,450,22610,6500,16110,17415,5195,1.3,337,3650,2050,6753,6705,49,3,1335
Valkenswaard,GM0858,858,Valkenswaard,Gemeente,GM0858,30262,14955,49.4,15307,50.6,4213,13.9,3133,10.4,6338,20.9,9284,30.7,7294,24.1,12210,40.3,13538,44.7,2546,8.4,1968,6.5,2890,9.5,1120,3.7,24,0.1,118,0.4,137,0.5,46,0.2,795,2.6,13806,4602,33.3,4813,34.9,4391,31.8,2.2,551,14272,240,76,24,88,12,2770,75,475,735,160,325,670,330,15935,4790,11145,13630,2305,1.2,290,1855,1420,5650,5490,160,3,1433
Veghel,GM0860,860,Veghel,Gemeente,GM0860,38078,19165,50.3,18913,49.7,6445,16.9,4486,11.8,9121,24,11249,29.5,6777,17.8,17139,45,16859,44.3,2286,6,1794,4.7,3324,8.7,3600,9.5,595,1.6,85,0.2,375,1,1470,3.9,1075,2.8,15821,4619,29.2,5107,32.3,6095,38.5,2.4,487,15753,233,83,17,82,18,3435,310,700,760,220,410,675,365,20140,5205,14935,15970,4170,1.3,258,4260,1825,7892,7816,76,3,1024
Veldhoven,GM0861,861,Veldhoven,Gemeente,GM0861,44317,22081,49.8,22236,50.2,6963,15.7,4828,10.9,10163,22.9,13365,30.2,8998,20.3,18895,42.6,19752,44.6,3302,7.5,2368,5.3,4327,9.8,2510,5.7,208,0.5,169,0.4,259,0.6,123,0.3,1751,4,19345,5995,31,6444,33.3,6906,35.7,2.3,1397,19280,251,79,21,86,14,3360,55,590,745,225,420,895,430,22475,7025,15445,19270,3205,1.2,708,2355,2035,3193,3173,20,2,1665
Vught,GM0865,865,Vught,Gemeente,GM0865,25973,12849,49.5,13124,50.5,4423,17,2720,10.5,5709,22,7876,30.3,5245,20.2,11899,45.8,10458,40.3,1949,7.5,1667,6.4,2340,9,1079,4.2,99,0.4,124,0.5,111,0.4,81,0.3,664,2.6,10942,3608,33,3311,30.3,4023,36.8,2.3,775,11257,310,76,24,91,9,2605,40,340,465,145,425,885,305,12270,3425,8845,9945,2325,1.1,366,1015,760,3444,3350,94,3,1280
Waalre,GM0866,866,Waalre,Gemeente,GM0866,17023,8395,49.3,8628,50.7,2928,17.2,1688,9.9,3429,20.1,5014,29.5,3964,23.3,7086,41.6,7666,45,1213,7.1,1058,6.2,1748,10.3,827,4.9,31,0.2,78,0.5,108,0.6,52,0.3,558,3.3,7340,2164,29.5,2510,34.2,2666,36.3,2.3,760,7556,298,84,16,88,12,1585,20,175,290,105,310,520,160,9205,2735,6465,7600,1605,1.3,411,620,680,2266,2239,28,4,832
Waalwijk,GM0867,867,Waalwijk,Gemeente,GM0867,47021,23439,49.8,23582,50.2,7378,15.7,5068,10.8,11521,24.5,13578,28.9,9476,20.2,20229,43,20640,43.9,3433,7.3,2719,5.8,3940,8.4,3699,7.9,230,0.5,191,0.4,410,0.9,1629,3.5,1239,2.6,20713,6665,32.2,6791,32.8,7257,35,2.2,728,20952,209,77,23,86,14,4500,105,925,1245,250,480,1025,470,24830,7910,16920,20015,4815,1.2,384,3605,1890,6765,6461,303,3,1258
Werkendam,GM0870,870,Werkendam,Gemeente,GM0870,26527,13282,50.1,13245,49.9,4803,18.1,3191,12,6014,22.7,7528,28.4,4991,18.8,11129,42,12725,48,1284,4.8,1389,5.2,969,3.7,590,2.2,13,0,44,0.2,33,0.1,36,0.1,464,1.7,10469,2706,25.8,3532,33.7,4231,40.4,2.5,260,10520,227,90,10,87,13,2680,140,620,515,350,225,580,250,13040,4360,8680,10540,2500,1.2,128,2305,980,12176,10206,1970,4,612
Woensdrecht,GM0873,873,Woensdrecht,Gemeente,GM0873,21682,10848,50,10834,50,3177,14.7,2301,10.6,4546,21,6689,30.9,4969,22.9,8308,38.3,10525,48.5,1535,7.1,1314,6.1,3927,18.1,633,2.9,32,0.1,63,0.3,78,0.4,76,0.4,384,1.8,9393,2619,27.9,3450,36.7,3324,35.4,2.3,237,9642,218,90,10,88,12,1610,125,295,405,90,155,330,215,11910,3985,7925,9795,2120,1.3,130,1330,1140,9197,9168,29,4,649
Woudrichem,GM0874,874,Woudrichem,Gemeente,GM0874,14518,7262,50,7256,50,2564,17.7,1656,11.4,3230,22.2,4353,30,2715,18.7,5965,41.1,7028,48.4,809,5.6,716,4.9,631,4.3,299,2.1,6,0,21,0.1,34,0.2,7,0,231,1.6,5839,1502,25.7,1974,33.8,2363,40.5,2.5,294,5931,238,89,11,84,16,1445,125,270,290,100,145,390,120,7545,2370,5175,5925,1625,1.3,153,1395,635,5170,4939,231,5,348
Zundert,GM0879,879,Zundert,Gemeente,GM0879,21488,11021,51.3,10467,48.7,2929,13.6,2589,12,4588,21.4,6990,32.5,4392,20.4,9312,43.3,9732,45.3,1153,5.4,1291,6,2835,13.2,612,2.8,221,1,26,0.1,34,0.2,30,0.1,301,1.4,9328,2976,31.9,3175,34,3177,34.1,2.3,178,9197,280,88,12,85,15,2110,505,365,410,110,170,335,215,11700,3310,8390,10020,1685,1.3,97,1985,895,12121,12070,51,4,519
Wormerland,GM0880,880,Wormerland,Gemeente,GM0880,15664,7790,49.7,7874,50.3,2351,15,1934,12.3,3031,19.4,4857,31,3491,22.3,6751,43.1,6906,44.1,1131,7.2,876,5.6,991,6.3,920,5.9,55,0.4,38,0.2,172,1.1,190,1.2,465,3,6824,2105,30.8,2231,32.7,2488,36.5,2.3,406,6684,219,75,25,89,11,1320,70,315,200,90,160,325,160,7355,2375,4980,6405,950,1.1,191,965,980,4518,3859,659,3,1393
Onderbanken,GM0881,881,Onderbanken,Gemeente,GM0881,7869,3957,50.3,3912,49.7,1058,13.4,811,10.3,1570,20,2705,34.4,1725,21.9,3039,38.6,3722,47.3,606,7.7,502,6.4,1383,17.6,207,2.6,65,0.8,11,0.1,15,0.2,10,0.1,106,1.3,3457,970,28.1,1205,34.9,1282,37.1,2.3,372,3645,169,90,10,95,5,495,30,85,120,25,35,110,85,4570,1085,3485,4085,485,1.3,216,400,460,2124,2116,8,5,473
Landgraaf,GM0882,882,Landgraaf,Gemeente,GM0882,37465,18445,49.2,19020,50.8,4866,13,3695,9.9,7853,21,12536,33.5,8515,22.7,14483,38.7,16779,44.8,3567,9.5,2636,7,7285,19.4,1380,3.7,153,0.4,126,0.3,63,0.2,131,0.3,907,2.4,17463,5915,33.9,6055,34.7,5493,31.5,2.1,1524,17923,149,77,23,91,9,1915,25,360,530,135,130,395,340,20240,5330,14910,18280,1960,1.2,823,1665,1680,2467,2458,8,3,1437
Beek,GM0888,888,Beek,Gemeente,GM0888,16068,7826,48.7,8242,51.3,2045,12.7,1724,10.7,3224,20.1,5256,32.7,3819,23.8,6185,38.5,7602,47.3,1210,7.5,1071,6.7,1595,9.9,653,4.1,168,1,31,0.2,20,0.1,61,0.4,373,2.3,7321,2291,31.3,2612,35.7,2418,33,2.2,764,7415,185,76,24,95,5,1440,40,205,375,120,135,390,175,9250,2655,6600,8165,1090,1.3,440,930,795,2103,2103,0,4,877
Beesel,GM0889,889,Beesel,Gemeente,GM0889,13388,6738,50.3,6650,49.7,2049,15.3,1401,10.5,2821,21.1,4299,32.1,2818,21,5348,39.9,6364,47.5,887,6.6,789,5.9,1418,10.6,669,5,330,2.5,35,0.3,12,0.1,76,0.6,216,1.6,5776,1630,28.2,2027,35.1,2119,36.7,2.3,477,5882,185,87,13,86,14,845,55,150,190,65,95,150,130,6635,1825,4810,5755,880,1.1,236,640,555,2915,2808,108,4,726
Bergen (L.),GM0893,893,Bergen (L.),Gemeente,GM0893,13090,6514,49.8,6576,50.2,1888,14.4,1471,11.2,2542,19.4,4394,33.6,2795,21.4,5375,41.1,6019,46,850,6.5,846,6.5,1693,12.9,293,2.2,37,0.3,14,0.1,19,0.1,2,0,221,1.7,5536,1517,27.4,1988,35.9,2031,36.7,2.3,127,5619,204,93,7,89,11,990,155,190,230,60,70,145,145,7375,1520,5860,5850,1525,1.3,71,1115,720,10850,10347,502,5,309
Brunssum,GM0899,899,Brunssum,Gemeente,GM0899,28448,13871,48.8,14577,51.2,3811,13.4,2857,10,6121,21.5,9193,32.3,6466,22.7,11247,39.5,12143,42.7,2890,10.2,2168,7.6,5435,19.1,1361,4.8,412,1.4,127,0.4,80,0.3,51,0.2,691,2.4,13548,4933,36.4,4336,32,4279,31.6,2.1,1653,14511,131,69,31,89,11,1375,5,265,395,75,105,290,240,14840,3475,11365,13405,1430,1.1,862,1115,1320,1734,1721,13,2,1673
Gennep,GM0907,907,Gennep,Gemeente,GM0907,17085,8735,51.1,8350,48.9,2677,15.7,1756,10.3,3596,21,5414,31.7,3642,21.3,7734,45.3,7319,42.8,1092,6.4,940,5.5,1689,9.9,659,3.9,210,1.2,31,0.2,30,0.2,72,0.4,316,1.8,7105,2096,29.5,2446,34.4,2563,36.1,2.3,359,7277,219,90,10,84,16,1275,105,240,290,75,125,285,155,9000,2345,6655,7045,1955,1.3,189,1350,770,5042,4766,277,4,622
Heerlen,GM0917,917,Heerlen,Gemeente,GM0917,87406,43309,49.5,44097,50.5,11356,13,9298,10.6,20772,23.8,27106,31,18874,21.6,38749,44.3,32602,37.3,10093,11.5,5962,6.8,16470,18.8,7885,9,2370,2.7,765,0.9,383,0.4,613,0.7,3754,4.3,44691,19823,44.4,12624,28.2,12244,27.4,1.9,1944,45227,123,64,36,94,6,5120,20,750,1535,410,425,1245,735,42705,10655,32050,37860,4840,1,950,3650,3280,4553,4497,56,2,1784
Kerkrade,GM0928,928,Kerkrade,Gemeente,GM0928,46023,22960,49.9,23063,50.1,5755,12.5,4201,9.1,10028,21.8,15200,33,10839,23.6,17682,38.4,19851,43.1,4888,10.6,3602,7.8,11905,25.9,2412,5.2,434,0.9,383,0.8,72,0.2,279,0.6,1244,2.7,22589,8711,38.6,7327,32.4,6551,29,2,2101,23967,122,64,36,92,8,2430,10,410,745,160,170,510,425,23245,5745,17500,21080,2165,1,1061,1970,1920,2215,2191,24,2,1745
Maastricht,GM0935,935,Maastricht,Gemeente,GM0935,122533,58909,48.1,63624,51.9,13408,10.9,23428,19.1,28769,23.5,32393,26.4,24535,20,63734,52,41387,33.8,10523,8.6,6889,5.6,24009,19.6,12561,10.3,1801,1.5,633,0.5,374,0.3,1577,1.3,8176,6.7,68072,36503,53.6,17321,25.4,14248,20.9,1.8,2175,60948,180,53,47,92,8,8800,50,945,2420,610,775,2530,1460,45185,12480,32705,39695,5485,0.7,802,4720,2900,6013,5634,379,2,2353
Meerssen,GM0938,938,Meerssen,Gemeente,GM0938,19040,9407,49.4,9633,50.6,2547,13.4,1967,10.3,3600,18.9,6222,32.7,4704,24.7,7215,37.9,9242,48.5,1348,7.1,1235,6.5,1801,9.5,487,2.6,34,0.2,33,0.2,6,0,31,0.2,383,2,8421,2424,28.8,3131,37.2,2866,34,2.2,706,8569,222,84,16,95,5,1425,50,200,335,95,130,420,200,10170,2900,7275,8980,1190,1.2,377,1010,940,2770,2696,74,4,610
Mook en Middelaar,GM0944,944,Mook en Middelaar,Gemeente,GM0944,7755,3832,49.4,3923,50.6,1072,13.8,855,11,1261,16.3,2632,33.9,1935,25,3112,40.1,3640,46.9,546,7,457,5.9,776,10,277,3.6,9,0.1,18,0.2,14,0.2,9,0.1,227,2.9,3444,1026,29.8,1276,37,1142,33.2,2.2,446,3560,261,87,13,89,11,660,15,95,125,35,110,190,85,4480,1270,3210,3550,930,1.3,258,415,340,1881,1738,143,5,417
Nederweert,GM0946,946,Nederweert,Gemeente,GM0946,16793,8488,50.5,8305,49.5,2420,14.4,1929,11.5,3516,20.9,5419,32.3,3509,20.9,6835,40.7,8080,48.1,898,5.3,980,5.8,1060,6.3,325,1.9,27,0.2,22,0.1,8,0,8,0,260,1.5,7061,1913,27.1,2545,36,2603,36.9,2.3,168,7165,236,88,12,82,18,1780,310,365,390,90,135,310,175,9405,2255,7150,7675,1730,1.3,94,1535,935,10178,9986,192,4,618
Nuth,GM0951,951,Nuth,Gemeente,GM0951,15425,7624,49.4,7801,50.6,2012,13,1517,9.8,3102,20.1,4865,31.5,3929,25.5,5853,37.9,7434,48.2,1038,6.7,1100,7.1,1632,10.6,375,2.4,34,0.2,32,0.2,32,0.2,43,0.3,234,1.5,6840,1998,29.2,2550,37.3,2292,33.5,2.2,466,6947,199,82,18,93,7,1220,85,185,285,90,100,295,175,8860,2455,6405,7740,1125,1.3,268,1145,810,3313,3310,3,4,521
Roermond,GM0957,957,Roermond,Gemeente,GM0957,57010,28133,49.3,28877,50.7,8562,15,6088,10.7,14378,25.2,16873,29.6,11109,19.5,26228,46,21894,38.4,5504,9.7,3384,5.9,8353,14.7,7731,13.6,2011,3.5,452,0.8,316,0.6,2145,3.8,2807,4.9,27205,10836,39.8,7937,29.2,8432,31,2.1,937,27111,174,68,32,85,15,4325,80,600,1360,310,420,1005,555,27400,7500,19905,22875,4525,1,450,2645,1920,7105,6084,1021,2,1501
Schinnen,GM0962,962,Schinnen,Gemeente,GM0962,12960,6480,50,6480,50,1768,13.6,1364,10.5,2468,19,4180,32.3,3180,24.5,4910,37.9,6288,48.5,923,7.1,839,6.5,1624,12.5,382,2.9,30,0.2,22,0.2,20,0.2,17,0.1,293,2.3,5662,1556,27.5,2140,37.8,1966,34.7,2.2,539,5929,190,84,16,93,7,895,35,120,195,55,95,245,150,7425,2070,5355,6530,895,1.3,309,660,625,2412,2406,6,5,474
Simpelveld,GM0965,965,Simpelveld,Gemeente,GM0965,10741,5315,49.5,5426,50.5,1438,13.4,1003,9.3,2228,20.7,3437,32,2635,24.5,3961,36.9,5179,48.2,784,7.3,817,7.6,1720,16,176,1.6,5,0,15,0.1,8,0.1,5,0,143,1.3,4891,1498,30.6,1795,36.7,1598,32.7,2.2,670,5225,160,78,22,93,7,640,50,105,145,35,60,135,110,6075,1885,4190,5375,700,1.2,379,495,540,1603,1603,0,4,666
Stein,GM0971,971,Stein,Gemeente,GM0971,25064,12468,49.7,12596,50.3,3259,13,2421,9.7,5062,20.2,8213,32.8,6109,24.4,9234,36.8,12245,48.9,1848,7.4,1737,6.9,2774,11.1,686,2.7,190,0.8,25,0.1,30,0.1,5,0,436,1.7,11334,3261,28.8,4318,38.1,3755,33.1,2.2,1188,11614,178,83,17,91,9,1585,25,300,385,115,120,380,265,14045,3850,10195,12395,1650,1.2,666,1685,1380,2280,2110,170,4,883
Vaals,GM0981,981,Vaals,Gemeente,GM0981,9632,4770,49.5,4862,50.5,1061,11,937,9.7,1768,18.4,3320,34.5,2546,26.4,3563,37,4405,45.7,947,9.8,717,7.4,4246,44.1,448,4.7,17,0.2,21,0.2,13,0.1,43,0.4,354,3.7,4926,2053,41.7,1662,33.7,1211,24.6,1.9,403,5241,148,57,43,92,8,615,35,90,190,45,35,115,105,4735,1175,3560,4255,475,1,198,335,395,2390,2389,1,4,945
Venlo,GM0983,983,Venlo,Gemeente,GM0983,100371,49842,49.7,50529,50.3,15048,15,11047,11,23854,23.8,30096,30,20326,20.3,43864,43.7,41848,41.7,8656,8.6,6003,6,15573,15.5,11336,11.3,3068,3.1,274,0.3,478,0.5,4059,4,3457,3.4,46545,17146,36.8,14489,31.1,14910,32,2.1,807,46424,176,70,30,89,11,7185,215,990,2200,545,710,1500,1030,48105,13600,34505,40375,7725,1,387,5510,3255,12899,12445,454,2,1605
Venray,GM0984,984,Venray,Gemeente,GM0984,43291,21894,50.6,21397,49.4,6774,15.6,5092,11.8,9857,22.8,13329,30.8,8239,19,19471,45,18523,42.8,3077,7.1,2220,5.1,4516,10.4,3807,8.8,722,1.7,195,0.5,299,0.7,1124,2.6,1467,3.4,18376,5690,31,6023,32.8,6663,36.3,2.3,265,18790,205,82,18,85,15,3260,490,460,735,205,300,660,410,21470,5400,16070,16880,4590,1.2,131,2985,1845,16500,16332,168,3,1001
Voerendaal,GM0986,986,Voerendaal,Gemeente,GM0986,12482,6170,49.4,6312,50.6,1725,13.8,1188,9.5,2355,18.9,4031,32.3,3183,25.5,4593,36.8,6125,49.1,912,7.3,852,6.8,1381,11.1,300,2.4,25,0.2,21,0.2,14,0.1,7,0.1,233,1.9,5568,1552,27.9,2154,38.7,1862,33.4,2.2,396,5733,208,88,12,90,10,955,80,130,205,55,100,255,135,7055,2090,4960,6275,780,1.3,224,670,535,3152,3151,1,4,539
Weert,GM0988,988,Weert,Gemeente,GM0988,49100,24497,49.9,24603,50.1,7141,14.5,5519,11.2,10917,22.2,14819,30.2,10704,21.8,20808,42.4,21517,43.8,3722,7.6,3053,6.2,5318,10.8,4617,9.4,2122,4.3,346,0.7,158,0.3,623,1.3,1368,2.8,21922,7349,33.5,7165,32.7,7408,33.8,2.2,470,22504,204,73,27,87,13,3825,200,620,1020,245,435,815,495,23895,6540,17350,19950,3945,1.1,229,2775,2020,10554,10442,111,3,1315
Valkenburg aan de Geul,GM0994,994,Valkenburg aan de Geul,Gemeente,GM0994,16518,8170,49.5,8348,50.5,1982,12,1574,9.5,3132,19,5399,32.7,4431,26.8,6453,39.1,7352,44.5,1415,8.6,1298,7.9,1907,11.5,479,2.9,36,0.2,23,0.1,29,0.2,53,0.3,338,2,7736,2799,36.2,2577,33.3,2360,30.5,2.1,450,8169,198,65,35,93,7,1500,60,175,490,75,155,335,215,8710,2425,6285,7765,945,1.1,237,925,815,3692,3673,20,4,655
Lelystad,GM0995,995,Lelystad,Gemeente,GM0995,76792,38367,50,38425,50,14635,19.1,8712,11.3,20133,26.2,21357,27.8,11955,15.6,37055,48.3,29445,38.3,7332,9.5,2960,3.9,7465,9.7,15212,19.8,2365,3.1,1848,2.4,4518,5.9,1919,2.5,4562,5.9,33271,11085,33.3,9456,28.4,12730,38.3,2.3,333,32755,159,83,17,81,19,5990,160,970,1480,605,475,1550,745,32955,10380,22570,24775,8180,1,143,3070,2850,76545,23056,53490,3,1355
Horst aan de Maas,GM1507,1507,Horst aan de Maas,Gemeente,GM1507,41675,21009,50.4,20666,49.6,6647,15.9,4868,11.7,9030,21.7,13041,31.3,8089,19.4,18393,44.1,18770,45,2184,5.2,2328,5.6,3107,7.5,1058,2.5,48,0.1,41,0.1,65,0.2,60,0.1,844,2,17229,4712,27.3,5974,34.7,6543,38,2.4,221,17431,231,89,11,86,14,3415,630,505,695,180,320,610,480,22355,5460,16895,18045,4310,1.3,118,3290,2460,19192,18871,320,4,552
Oude IJsselstreek,GM1509,1509,Oude IJsselstreek,Gemeente,GM1509,39657,19863,50.1,19794,49.9,6277,15.8,4423,11.2,7955,20.1,12432,31.3,8570,21.6,16820,42.4,17869,45.1,2333,5.9,2635,6.6,2830,7.1,2387,6,26,0.1,88,0.2,37,0.1,1590,4,646,1.6,16856,4986,29.6,5783,34.3,6087,36.1,2.3,291,17218,192,85,15,91,9,3150,385,565,710,150,350,580,415,20205,4700,15505,17230,2980,1.2,148,2625,2050,13795,13632,163,4,636
Teylingen,GM1525,1525,Teylingen,Gemeente,GM1525,36013,17948,49.8,18065,50.2,6270,17.4,4367,12.1,7841,21.8,10931,30.4,6604,18.3,16231,45.1,15540,43.2,2373,6.6,1869,5.2,3245,9,2028,5.6,285,0.8,142,0.4,237,0.7,149,0.4,1215,3.4,14957,4502,30.1,4558,30.5,5897,39.4,2.4,1266,14952,281,76,24,85,15,3040,140,430,620,220,375,920,335,17455,6480,10975,14810,2640,1.2,614,1945,1365,3349,2844,505,3,1339
Utrechtse Heuvelrug,GM1581,1581,Utrechtse Heuvelrug,Gemeente,GM1581,48506,23661,48.8,24845,51.2,7838,16.2,5479,11.3,9107,18.8,14670,30.2,11412,23.5,20791,42.9,21247,43.8,3384,7,3084,6.4,4004,8.3,3200,6.6,804,1.7,193,0.4,231,0.5,356,0.7,1616,3.3,21148,7458,35.3,6771,32,6919,32.7,2.2,367,21216,306,76,24,91,9,5180,195,675,850,330,610,1950,575,25460,8055,17405,19925,5540,1.2,193,2740,2010,13394,13201,193,4,760
Oost Gelre,GM1586,1586,Oost Gelre,Gemeente,GM1586,29537,14938,50.6,14599,49.4,4846,16.4,3444,11.7,6130,20.8,9187,31.1,5930,20.1,13643,46.2,12639,42.8,1441,4.9,1814,6.1,1551,5.3,803,2.7,164,0.6,34,0.1,43,0.1,127,0.4,435,1.5,12169,3487,28.7,4236,34.8,4446,36.5,2.4,269,12692,198,84,16,88,12,2515,360,430,575,120,270,450,305,15035,3540,11495,12530,2505,1.2,137,2680,1590,11012,10964,48,4,735
Koggenland,GM1598,1598,Koggenland,Gemeente,GM1598,22471,11299,50.3,11172,49.7,3966,17.6,2780,12.4,4891,21.8,6688,29.8,4146,18.5,10388,46.2,9778,43.5,1210,5.4,1095,4.9,1108,4.9,636,2.8,27,0.1,47,0.2,83,0.4,31,0.1,448,2,9129,2570,28.2,2983,32.7,3576,39.2,2.4,280,9220,228,84,16,80,20,2270,295,615,345,125,225,445,220,11440,2950,8490,9415,2020,1.3,142,2500,1525,8408,8032,377,5,412
Lansingerland,GM1621,1621,Lansingerland,Gemeente,GM1621,59035,29337,49.7,29698,50.3,12979,22,6505,11,14806,25.1,16384,27.8,8361,14.2,27725,47,25826,43.7,3411,5.8,2073,3.5,4211,7.1,5527,9.4,1031,1.7,387,0.7,1365,2.3,494,0.8,2250,3.8,22531,4944,21.9,6783,30.1,10804,48,2.6,1090,22942,264,83,17,63,37,5675,380,770,1145,435,785,1655,505,28765,11200,17565,24740,4025,1.3,531,4085,2305,5637,5418,219,3,1231
Leudal,GM1640,1640,Leudal,Gemeente,GM1640,36140,18312,50.7,17828,49.3,5161,14.3,4079,11.3,7261,20.1,11810,32.7,7829,21.7,15011,41.5,16859,46.6,2087,5.8,2183,6,3293,9.1,1037,2.9,70,0.2,54,0.1,50,0.1,49,0.1,814,2.3,15291,4306,28.2,5522,36.1,5463,35.7,2.3,222,15718,209,88,12,90,10,2965,455,500,690,180,265,530,355,20245,4995,15250,16820,3425,1.3,124,2910,1965,16491,16277,213,5,378
Maasgouw,GM1641,1641,Maasgouw,Gemeente,GM1641,23757,11930,50.2,11827,49.8,2961,12.5,2397,10.1,4574,19.3,8054,33.9,5771,24.3,9510,40,10930,46,1718,7.2,1599,6.7,2657,11.2,557,2.3,39,0.2,24,0.1,30,0.1,40,0.2,424,1.8,10352,3094,29.9,3817,36.9,3441,33.2,2.2,520,10601,196,88,12,91,9,2005,60,330,440,320,200,380,280,13445,3940,9510,11075,2370,1.3,294,1640,1210,5812,4571,1241,5,430
Eemsmond,GM1651,1651,Eemsmond,Gemeente,GM1651,15815,8050,50.9,7765,49.1,2569,16.2,1744,11,3217,20.3,4911,31.1,3374,21.3,6856,43.4,6862,43.4,1139,7.2,958,6.1,621,3.9,427,2.7,6,0,85,0.5,30,0.2,18,0.1,288,1.8,7098,2418,34.1,2324,32.7,2356,33.2,2.2,84,7471,142,88,12,89,11,1260,255,240,255,75,75,190,170,7835,1715,6120,6060,1775,1.1,41,1270,875,54335,18931,35404,5,366
Gemert-Bakel,GM1652,1652,Gemert-Bakel,Gemeente,GM1652,29647,14995,50.6,14652,49.4,4950,16.7,3442,11.6,6953,23.5,9042,30.5,5260,17.7,13378,45.1,13034,44,1702,5.7,1533,5.2,2062,7,788,2.7,56,0.2,24,0.1,63,0.2,51,0.2,594,2,12378,3586,29,4065,32.8,4727,38.2,2.4,243,12451,233,86,14,82,18,2740,405,630,575,135,255,440,305,15485,3480,12005,12330,3155,1.3,127,2845,1695,12334,12222,112,4,755
Halderberge,GM1655,1655,Halderberge,Gemeente,GM1655,29531,14646,49.6,14885,50.4,4358,14.8,3130,10.6,6286,21.3,9247,31.3,6510,22,11599,39.3,14114,47.8,1974,6.7,1844,6.2,2049,6.9,2131,7.2,831,2.8,92,0.3,173,0.6,273,0.9,762,2.6,12739,3572,28,4682,36.8,4485,35.2,2.3,396,13027,227,87,13,86,14,2620,235,520,560,185,300,515,310,15745,5355,10390,13155,2590,1.2,211,2100,1380,7521,7448,73,4,742
Heeze-Leende,GM1658,1658,Heeze-Leende,Gemeente,GM1658,15650,7921,50.6,7729,49.4,2364,15.1,1738,11.1,3047,19.5,4961,31.7,3540,22.6,6565,41.9,7306,46.7,851,5.4,928,5.9,1099,7,393,2.5,25,0.2,33,0.2,18,0.1,24,0.2,293,1.9,6486,1776,27.4,2297,35.4,2413,37.2,2.4,150,6628,307,91,9,85,15,1620,160,265,370,105,200,350,170,8905,2520,6385,7260,1645,1.4,86,1220,820,10504,10401,103,4,569
